iter	Passed	Remaining
0	3	3533
1	7	3609
2	10	3578
3	14	3530
4	17	3443
5	20	3436
6	23	3400
7	26	3313
8	29	3286
9	32	3246
10	35	3210
11	39	3211
12	42	3194
13	45	3176
14	47	3126
15	50	3131
16	55	3187
17	58	3193
18	61	3197
19	64	3176
20	67	3154
21	70	3152
22	73	3134
23	76	3119
24	79	3112
25	82	3088
26	85	3069
27	88	3055
28	90	3033
29	93	3020
30	96	3008
31	98	2989
32	101	2979
33	104	2970
34	107	2955
35	110	2948
36	113	2941
37	115	2928
38	119	2935
39	122	2928
40	125	2925
41	128	2926
42	131	2916
43	134	2916
44	136	2904
45	139	2892
46	142	2895
47	145	2883
48	148	2875
49	151	2874
50	153	2849
51	155	2827
52	158	2824
53	160	2816
54	163	2807
55	166	2807
56	169	2798
57	171	2790
58	174	2786
59	177	2777
60	180	2771
61	182	2767
62	185	2759
63	188	2753
64	191	2748
65	193	2740
66	196	2735
67	199	2729
68	201	2721
69	204	2716
70	207	2712
71	209	2706
72	212	2697
73	215	2700
74	219	2701
75	222	2708
76	225	2705
77	228	2705
78	231	2700
79	234	2693
80	237	2692
81	239	2678
82	241	2672
83	244	2671
84	247	2667
85	250	2661
86	253	2658
87	255	2652
88	258	2646
89	261	2643
90	264	2638
91	266	2632
92	269	2628
93	272	2623
94	274	2618
95	277	2615
96	280	2610
97	282	2604
98	286	2603
99	288	2597
100	291	2593
101	294	2592
102	297	2587
103	300	2585
104	302	2577
105	304	2571
106	308	2573
107	311	2575
108	315	2575
109	317	2571
110	320	2570
111	323	2567
112	326	2565
113	329	2561
114	332	2560
115	335	2555
116	337	2550
117	340	2548
118	343	2543
119	346	2538
120	349	2536
121	351	2531
122	354	2526
123	357	2525
124	360	2520
125	362	2516
126	365	2515
127	368	2510
128	371	2507
129	374	2503
130	376	2499
131	379	2495
132	382	2492
133	384	2487
134	387	2485
135	390	2482
136	393	2477
137	395	2473
138	398	2470
139	401	2465
140	404	2463
141	406	2459
142	409	2454
143	412	2453
144	415	2449
145	417	2444
146	420	2442
147	423	2438
148	426	2436
149	429	2435
150	433	2436
151	437	2438
152	439	2435
153	443	2434
154	446	2435
155	449	2433
156	453	2437
157	457	2436
158	461	2442
159	464	2440
160	468	2441
161	472	2442
162	476	2444
163	479	2444
164	482	2443
165	486	2444
166	489	2443
167	493	2444
168	496	2442
169	500	2442
170	503	2439
171	506	2437
172	510	2439
173	513	2435
174	517	2437
175	520	2436
176	524	2437
177	527	2436
178	531	2436
179	534	2437
180	539	2442
181	543	2444
182	548	2448
183	552	2450
184	556	2451
185	559	2449
186	562	2447
187	568	2453
188	573	2461
189	577	2461
190	580	2460
191	583	2457
192	588	2461
193	593	2464
194	599	2473
195	603	2475
196	608	2480
197	614	2489
198	619	2494
199	625	2501
200	631	2511
201	638	2524
202	645	2535
203	651	2543
204	657	2548
205	661	2550
206	665	2549
207	670	2551
208	674	2552
209	678	2552
210	681	2550
211	685	2547
212	688	2544
213	691	2540
214	694	2535
215	697	2531
216	700	2528
217	703	2524
218	708	2527
219	712	2527
220	715	2523
221	718	2518
222	721	2513
223	724	2509
224	726	2503
225	729	2499
226	732	2493
227	734	2488
228	738	2484
229	740	2480
230	743	2476
231	746	2472
232	749	2467
233	752	2462
234	755	2459
235	758	2454
236	761	2452
237	765	2450
238	768	2446
239	771	2443
240	774	2438
241	777	2435
242	780	2431
243	783	2426
244	786	2423
245	789	2419
246	791	2414
247	794	2410
248	797	2405
249	800	2401
250	803	2397
251	806	2393
252	809	2389
253	812	2384
254	814	2380
255	817	2376
256	820	2372
257	823	2367
258	826	2365
259	829	2361
260	832	2356
261	835	2352
262	838	2349
263	841	2346
264	844	2342
265	848	2340
266	851	2337
267	854	2335
268	858	2333
269	861	2330
270	865	2327
271	869	2327
272	873	2327
273	877	2324
274	880	2320
275	883	2317
276	886	2313
277	889	2310
278	892	2306
279	895	2302
280	898	2300
281	902	2298
282	906	2296
283	909	2293
284	913	2291
285	916	2288
286	920	2285
287	922	2281
288	925	2277
289	928	2273
290	931	2269
291	933	2264
292	937	2261
293	940	2257
294	942	2252
295	945	2248
296	948	2245
297	951	2240
298	954	2237
299	957	2233
300	960	2229
301	963	2225
302	965	2221
303	968	2217
304	971	2213
305	973	2208
306	976	2204
307	979	2200
308	982	2196
309	985	2192
310	987	2188
311	991	2186
312	994	2183
313	997	2179
314	1001	2177
315	1004	2173
316	1007	2171
317	1010	2166
318	1013	2162
319	1016	2159
320	1019	2155
321	1021	2150
322	1024	2147
323	1027	2143
324	1029	2139
325	1033	2136
326	1035	2131
327	1038	2127
328	1041	2124
329	1044	2121
330	1047	2117
